binning_version,bin_id,xB_min,xB_max,Q2_min,Q2_max,xB_center,Q2_center,Ebeam,Eprime,theta
dis_12bins_v1,1,0.1,0.15,1.0,1.5,0.125,1.25,10.5,5.171055337091164,8.701835602071087
dis_12bins_v1,2,0.1,0.15,1.5,2.25,0.125,1.875,10.5,2.506583005636746,15.338582419521947
dis_12bins_v1,3,0.15,0.2,1.0,2.0,0.175,1.5,10.5,5.9323331460781406,8.900155072236588
dis_12bins_v1,4,0.15,0.2,2.0,3.0,0.175,2.5,10.5,2.8872219101302345,16.510551194742547
dis_12bins_v1,5,0.2,0.3,1.0,2.0,0.25,1.5,10.5,7.3026332022546985,8.020260951002495
dis_12bins_v1,6,0.2,0.3,2.0,3.0,0.25,2.5,10.5,5.171055337091164,12.318139688689735
dis_12bins_v1,7,0.2,0.3,3.0,4.5,0.25,3.75,10.5,2.506583005636746,21.757812009390634
dis_12bins_v1,8,0.3,0.4,1.5,3.0,0.35,2.25,10.5,7.074249859558606,9.98455481988784
dis_12bins_v1,9,0.3,0.4,3.0,6.0,0.35,4.5,10.5,3.6484997191172104,19.734491879702727
dis_12bins_v1,10,0.4,0.55,2.1,4.5,0.47500000000000003,3.3,10.5,6.79778581313702,12.343587694032214
dis_12bins_v1,11,0.4,0.55,4.5,8.25,0.47500000000000003,6.375,10.5,3.3479953208328794,24.58743145377637
dis_12bins_v1,12,0.55,0.75,3.8,10.0,0.65,6.9,10.5,4.843120280912159,21.22639984440678
